,Nombre,Título,Fecha,Rating,Reviews,Tipo
41,Tandoor Indian Food,Delicioso!!!,10 de abril de 2021,50,"Una nueva experiencia, el sitio está bien ubicado, la atención es excelente y la comida es deliciosa!!! Nos encanto.","RANGO DE PRECIOS
$ 2 - $ 35.000
TIPOS DE COMIDA
De la India, Bar, Saludable
DIETAS ESPECIALES
Apto para vegetarianos, Opciones veganas"
42,Tandoor Indian Food,ALMUERZO FAMILIAR,8 de marzo de 2020,50,"La comida estuvo deliciosa mi familia quedó feliz !!! Gracias excelente servicio, el sabor de la comida es muy buena genera diferentes experiencias con su sabor ...","RANGO DE PRECIOS
$ 2 - $ 35.000
TIPOS DE COMIDA
De la India, Bar, Saludable
DIETAS ESPECIALES
Apto para vegetarianos, Opciones veganas"
43,Tandoor Indian Food,Simple,24 de febrero de 2020,30,"Bien ubicado, en una linda casa. Comida India con poco sabor, acompañada con arroz sin sabor. Platos para compartir pequeños","RANGO DE PRECIOS
$ 2 - $ 35.000
TIPOS DE COMIDA
De la India, Bar, Saludable
DIETAS ESPECIALES
Apto para vegetarianos, Opciones veganas"
44,Tandoor Indian Food,Deliciosa experiencia digna de ser repetida.,20 de septiembre de 2019,50,"La mejor comida india que he probado en Bogotá. Su paneer es glorioso y su pierna de cordero es inigualable. Una experiencia deliciosa que, estoy seguro, repetiré muchas veces...","RANGO DE PRECIOS
$ 2 - $ 35.000
TIPOS DE COMIDA
De la India, Bar, Saludable
DIETAS ESPECIALES
Apto para vegetarianos, Opciones veganas"
45,Tandoor Indian Food,Excelente comida de la India,20 de julio de 2019,50,Todos los platos deliciosos. Muy autentico. El Naam estaba muy bien logrado. Todo que probamos nos gustó.,"RANGO DE PRECIOS
$ 2 - $ 35.000
TIPOS DE COMIDA
De la India, Bar, Saludable
DIETAS ESPECIALES
Apto para vegetarianos, Opciones veganas"
46,Tandoor Indian Food,No comida india original. Caro y mal sabor,3 de marzo de 2019,20,"Muy caro para estar tan lejos de comida india de verdad. El Kurma no tenía los verdaderos ingredientes, tenía un sabor muy regular que cualquiera podría darse cuenta y el Rhogan Josh no tenía ni tomate. 😷","RANGO DE PRECIOS
$ 2 - $ 35.000
TIPOS DE COMIDA
De la India, Bar, Saludable
DIETAS ESPECIALES
Apto para vegetarianos, Opciones veganas"
47,Tandoor Indian Food,Lunch,27 de febrero de 2019,40,"La comida es excelente, el lugar es acogedor. Muy buen servicio. Los precios son de rango mediano. La localización es fácil de encontrar.","RANGO DE PRECIOS
$ 2 - $ 35.000
TIPOS DE COMIDA
De la India, Bar, Saludable
DIETAS ESPECIALES
Apto para vegetarianos, Opciones veganas"
48,Tandoor Indian Food,Gran opción para comida India,27 de enero de 2019,50,La comida muy rica. Buenas opciones para los que no toleran tanto el picante. Los platos con cordero me parecieron los mejores. Muy buen servicio.,"RANGO DE PRECIOS
$ 2 - $ 35.000
TIPOS DE COMIDA
De la India, Bar, Saludable
DIETAS ESPECIALES
Apto para vegetarianos, Opciones veganas"
49,Tandoor Indian Food,No dan arroz basmati y porciones pequeñas!,27 de noviembre de 2018,30,"Increible que siendo de comida de la India, los platos vienen con arroz blanco normal y si quieres basmatí, tienes que pagarlo como adición. Lo bueno, se pude graduar el nivel de picante pero las porciones son pequeñas.","RANGO DE PRECIOS
$ 2 - $ 35.000
TIPOS DE COMIDA
De la India, Bar, Saludable
DIETAS ESPECIALES
Apto para vegetarianos, Opciones veganas"
50,Tandoor Indian Food,Un restaurante con gran sabor,23 de julio de 2018,40,"Un restaurante con platos no muy condimentados y de sabor equilibrado y muy ricos. Las porciones adecuadas . Unas verduras absolutamente deliciosas . Decoración agradable. En el servicio tienen que mejorar, los platos no llegaron al tiempo para los comensales. Sin dudarlo volveré pronto.","RANGO DE PRECIOS
$ 2 - $ 35.000
TIPOS DE COMIDA
De la India, Bar, Saludable
DIETAS ESPECIALES
Apto para vegetarianos, Opciones veganas"
